,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.679425835609436,0.552283763885498,0.679425835609436,0.6036019921302795
test_split_2,0.6674641966819763,0.538993775844574,0.6674641966819763,0.5892341732978821
test_split_3,0.6722487807273865,0.5451003313064575,0.6722487807273865,0.5971935987472534
test_split_4,0.6614832878112793,0.5233243703842163,0.6614832878112793,0.5787081122398376
test_split_5,0.6889952421188354,0.5640411376953125,0.6889952421188354,0.6142234802246094
test_split_6,0.6519139409065247,0.5190608501434326,0.6519139409065247,0.571327805519104
test_split_7,0.677033543586731,0.5472661852836609,0.677033543586731,0.5994960069656372
test_split_8,0.6746411323547363,0.5350934863090515,0.6746411323547363,0.5894476175308228
test_split_9,0.6997607350349426,0.5695175528526306,0.6997607350349426,0.6228310465812683
test_split_10,0.6877990365028381,0.568671464920044,0.6877990365028381,0.6120942831039429
